author
Mohamad Hosseinioun
Ozan Aksoy
Serina Chang
Martin Saveski
Luca Aiello
Rodrigo Costas
Eric Horvitz
Ian Gray
Tulin Inkaya
Isaac Johnson
Emese Domahidi
Mohsen Mosleh
Benjamin Jones
Marloes Hagens
Mehwish Nasim
Charlie Pilgrim
Kieran Mepham
Tugrulcan Elmas
Yian Yin
Daniel Possler
Luping Wang
Nils Köbis
Minje Choi
Benjamin Turner
Hansol Lee
Aleksandra Urman
Rainer Rilke
Luke Archer
Anastasiia Kapuza
David McClure
Jessica Nordell
Milena Tsvetkova
Jan Voltaire Vergara
Roland von Horn
Solomon Messing
Diego Saez-Trumper
Miriam Hurtado Bodell
Deblina Mukherjee
Tim Wulf
Jon Kleinberg
Jean-Philippe Cointet
Shuhei Kurizaki
Dakota Murray
Beate Klösch
Carlos X. Lastra-Anadon
Helen Zeng
Giovanni Colavizza
Masashi Toyoda
Manuel Tonneau
David Rand
Samar Haider
Yuanmo He
Melanie Sage
Krisztian Varga
Wei Zhang
Keigo Kusumegi
Esteban Moro
Iyad Rahwan
Tim König
Jisun An
Goran Muric
Nik Lomax
Vjosa Preniqi
Park Sinchaisri
Duilio Balsamo
Zachary Stine
Kokil Jaidka
Valeria Secchini
Arie Wijayanto
Ferda Ofli
Xinyi Zhao
Yuhao Du
Renzhe Yu
Molly J. Crockett
A. Gül Gökay Emel
Hiroki Takikawa
Thorsten Ruprechter
Richard Mole
Kunihiko Kaneko
Darren Gergle
Stefano Balietti
Huei-Yen Chen
Niccolo Pescetelli
Hyunho Song
John Bryden
Marina Mancoridis
Pierluigi Sacco
Andrea Baronchelli
Hawal Shamon
Haochen Liu
Sándor Juhász
Gulcan Petricli
Sahiti Sarva
Tina Comes
Paolo Parigi
Heidi Schulze
Lorenzo Lucchini
Dimosthenis Stefanidis
Tanzhou Liu
Yunkang Yang
Alex Rutherford
Zeyu Lyu
Longqi Yang
Balazs Lengyel
Jana Lasser
Vicky Chuqiao Yang
Florian Lemmerich
Julia Mendelsohn
Jessica Jacobson
Elise Jing
Hannah Metzler
Alberto Salomone
Mohammad Amin Sadeghi
Emre Kiciman
Shubhanshu Mishra
Mikhail Sokolov
Ivan Smirnov
Anton Boichenko
Tiggey May
Cláudia Soares
Seth Frey
Nicos Nicolaou
Sarah Rezaei
Miriam Koschate
Likun Cao
Hancheng Cao
Victor Chen
Qiankun Zhong
Jonathan Mijs
Sian Brooke
Jonas L. Juul
Rémi Perrier
Christian Sandvig
Ksenia Mukhina
Elizaveta Sivak
Shamsi Iqbal
Kenji Itao
Maria Teresa Pulido
Daniela Schmid
Ching Jin
Moritz Laurer
Arnaud Chiolero
Jian Gao
Cristian Pulido
Thomas Grund
Vivian Yang
Cameron Raymond
Hao Peng
Ádám Kovács
Sudhanshu Mishra
Kartiki Maheshwari
Hongwei Peng
Ylli Prifti
Je Hoon Chae
Alberto Bracci
Manlio De Domenico
Christos Nicolaides
Jonas Stein
David Liu
Şeyda Ertekin
Antonio Arechar
Corey Lofdahl
Sairam Gurajada
Robb Willer
Jesse Michael Fagan
Bryan Li
Giuseppe Joe Labiancaba
Weifeng Li
Thomas Niederkrotenthaler
Veniamin Veselovsky
Jayesh Choudhari
André Panisson
Carolina Vieira
Yingdan Lu
Lise Getoor
Amit Goldenberg
Firman Firmansyah
Yérali Gandica
Jan Kubik
Indira Sen
Mirco Nanni
Duncan Watts
Tomislav Duricic
Maxime Peyrard
