author
Aleksei Rotmistrov
Mahmoudreza Babaei
Samuel Woolley
Chenghua Lin
Lise Getoor
Sandrine Mouysset 
Alessandro Cossard
Sergey Gavrilets 
Daniel Ruiz
Chunying Wen
Yuki M. Asano 
Takashi Shimada
Duncan Watts
Patrick Wolf
Chathura Jayalath
Gabor Vattay
Alicia Eads
Antske Fokkens
Ingmar Weber 
Alex Furman
Luis C. Reyes
Claudia Wagner 
Tyler Amos
Douglas Mcleod
Alexander Sachs
Mark Levene
Xinyi Wang
Donna Spruijt-Metz
Kyriaki Kalimeri 
Saptarshi Ghosh
Maksim Tsvetovat
Kevin S. Chan
Wim Bernasco
Mariken A.C.G. van der Velden 
Tomosato Nishi 
Michaela Schippers
Dominika Czerniawska
Philip Howard
Wouter Van Atteveldt
Kiran Garimella
Florian Wanders
Abhijnan Chakraborty
Dimitrios Bountouridis
Yifan Qian
Clara Christner
Allison Morgan
Charles Howland
Zahra Sheikhbahaee 
Vedran Sekara
Lingfei Wu 
Ali Aghelmaleki 
Armin Mertens
Joshua Blumenstock
Bogdan State
Alex Pentl
Max Pellert
Iacopo Pozzana
Kasper Welbers
Yoshiki Ishikawa 
Tyler Amos 
Franziska Pradel
Daniel Alexandrov
Daniele Rama
Ahmad Alabdulkareem 
Hannes Rosenbusch
Alexandre P Francisco
Fariba Karimi
Alex Pentland
Milan van den Heuvel
Marius Sältzer 
Sang Hoon Lee
Johan Ugander
Kayla de la Haye
Moritz Müller
Stan Oklobdzija
Frank Takes
Sofia Dokuka
Nuno Araujo 
Walid Magdy
Michael Mathioudakis
Alessandra Urbinati
Giorgia Ramponi
Masashi Miura
Frederico Francisco 
Kristina Lerman
Bruno Toshio Sugano 
Fabricio Benevenuto
Juhi Kulshrestha
Khyati Mahajan 
Motahhare Eslami
Markus Meierer 
Felipe M. Cardoso
María Pereda
Zohar Neu 
Denis Bulygin 
Chengcheng Li
Janos Kertesz
Alfredo Morales
André Grow
Benjamin Devillers
Dan Levene 
Xiancheng Li
Ringo Ho
Cheng-Jun Wang
Yoshihiko Suhara
Yuval Benjamini 
Anxo Sanchez
Katherine Engelke 
Emily Sullivan
Bernard Steunenberg
Marie Lindegaard 
Tobias Buchmann 
Zhongkai Sun
Gijs Schumacher 
Markus Mobius
Chiara Allegri
Dániel Kondor 
Matthijs van Leeuwen
Takayuki Mizuno
Daniel C. Fehder
Dimitra Liotsiou 
Henri Kauhanen 
Andrew Li
Stephanie Sy
John Lach
Dhavan Shah
Jan Van Bavel
Massimo Riccaboni
Lilia Perfeito
John Stankovic 
Viacheslav A. Shibaev 
Fiona Murray 
Matteo Gagliolo
Hywel Williams
Alexandra Schofield
Luis Cueto-Felgueroso
Lin Wang
Javier Alvarez-Galvez 
Parizad Bahardoost
Mark Alfano 
Jennifer Allen
Felicia Loecherbach
Jaap van Den Herik 
Sid Ravinutala 
Yimeng Yang
Gianmarco De Francisci Morales
Kristina Lerman 
Ryo Hamawaki
Mariano Gastón Beiró
Valerie Hase
Marta C. Gonzalez
Scott Hale
Juliano Cavalli
Zeph M. C. van Berlo
Sandra Wankmüller
Demetris Avraam
Lisette Espín-Noboa
Isabella Loaiza
